subject_id,stack_id,ornt,DICE_IR,HD_IR,ASSD_IR
fCMR_Siemens_018,s34,tra,86.8436,4,0.8701
fCMR_Siemens_018,s40,sag,60.8294,22.5832,4.9245
fCMR_Siemens_018,s42,tra,75.9202,5.831,1.7499
fCMR_Siemens_018,s46,sag,62.2222,16.3095,3.8459
fCMR_Siemens_187,s79,tra,88.8047,4.1231,0.8464
fCMR_Siemens_187,s80,tra,85.5949,7.6811,1.2846
fCMR_Siemens_187,s81,tra,88.5221,3.6056,0.8271
fCMR_Siemens_187,s82,cor,86.5781,3.6056,0.9015
fCMR_Siemens_187,s84,sag,83.0454,6.4031,1.4275
fCMR_Siemens_187,s85,sag,78.3357,11.4018,2.105
fCMR_Siemens_187,s86,oblique,71.7826,10,1.9213
fCMR_Siemens_187,s87,oblique,76.6366,4.3589,1.3889
fCMR_Siemens_187,s88,oblique,76.2248,10.2956,2.0395
fCMR_Siemens_187,s89,oblique,79.302,10.247,1.7667
fCMR_Siemens_011,s60,cor,78.3945,7.8102,1.5341
fCMR_Siemens_011,s61,sag,75.5111,5.3852,1.5516
fCMR_Siemens_011,s64,cor,76.4297,8.3066,1.8046
fCMR_Siemens_011,s65,sag,74.0332,9,1.841
fCMR_Siemens_130,s70,tra,74.904,7.3485,2.0542
fCMR_Siemens_130,s71,sag,86.6596,3.7417,0.9905
fCMR_Siemens_130,s72,cor,78.5327,7.8102,1.9277
fCMR_Siemens_130,s73,tra,88.9824,4.3589,0.7695
fCMR_Siemens_130,s75,tra,71.6803,7.8102,2.2801
fCMR_Siemens_130,s76,sag,81.6444,5,1.5032
fCMR_Siemens_130,s77,cor,81.9889,6.4031,1.4525
fCMR_Siemens_130,s78,tra,77.3042,7.4833,1.744
fCMR_Siemens_113,s34,tra,93.342,2.2361,0.4431
fCMR_Siemens_113,s35,cor,85.7573,3.6056,0.8004
fCMR_Siemens_113,s36,sag,88.0666,4.1231,0.9333
fCMR_Siemens_113,s37,cor,86.9294,3.6056,0.7942
fCMR_Siemens_113,s38,sag,86.4014,4.1231,0.9671
fCMR_Siemens_113,s39,tra,94.1889,2.4495,0.4275
fCMR_Siemens_113,s40,cor,87.7858,4,0.801
fCMR_Siemens_113,s41,sag,85.7143,5.7446,1.1911
fCMR_Siemens_113,s42,cor,86.7674,4.1231,0.8308
fCMR_Siemens_113,s43,sag,88.3906,3.1623,0.8481
