subject_id,domain,chest,heart,reo,recon,pipeline
fCMR_Philips_020,Philips,Train,Train,Train,,False
fCMR_Philips_022,Philips,Train,Train,Train,,False
fCMR_Philips_092,Philips,Train,Train,Train,,False
fCMR_Philips_015,Philips,Train,Train,Train,,False
fCMR_Philips_037,Philips,Test,,,,False
fCMR_Philips_113,Philips,Train,Train,Train,,False
fCMR_Philips_041,Philips,Test,Test,Test,,False
fCMR_Philips_026,Philips,Train,Train,Train,,False
fCMR_Philips_058,Philips,Train,Train,Train,,False
fCMR_Philips_008,Philips,Train,Train,Train,,False
fCMR_Philips_090,Philips,Test,Test,Test,,False
fCMR_Philips_112,Philips,Train,Train,Train,,False
fCMR_Philips_129,Philips,Train,Train,Train,,False
fCMR_Philips_025,Philips,Train,,,,False
fCMR_Philips_114,Philips,Test,Test,Test,,False
fCMR_Philips_011,Philips,Train,Train,,,False
fCMR_Philips_048,Philips,Train,Train,Train,,False
fCMR_Philips_051,Philips,Train,,,,False
fCMR_Philips_107,Philips,Train,Train,Train,,False
fCMR_Philips_062,Philips,Train,Train,Train,,False
fCMR_Philips_069,Philips,Train,,,,False
fCMR_Philips_131,Philips,Train,Train,Train,,False
fCMR_Philips_126,Philips,Train,,,,False
fCMR_Philips_109,Philips,Train,Train,Train,,False
fCMR_Philips_038,Philips,Train,,,,False
fCMR_Philips_082,Philips,Train,,,,False
fCMR_Philips_029,Philips,Train,Train,Train,,False
fCMR_Philips_118,Philips,Train,,,,False
fCMR_Philips_059,Philips,Train,,,,False
fCMR_Philips_072,Philips,Train,Train,Train,,False
fCMR_Philips_088,Philips,Train,Train,Train,,False
fCMR_Philips_139,Philips,Train,Train,Train,,False
fCMR_Philips_014,Philips,Train,Train,Train,,False
fCMR_Philips_122,Philips,Train,Train,Train,,False
fCMR_Philips_065,Philips,Test,Test,Test,,False
fCMR_Philips_006,Philips,Train,Train,Train,,False
fCMR_Philips_132,Philips,Test,Test,Test,,False
fCMR_Philips_053,Philips,Train,Train,Train,,False
fCMR_Philips_101,Philips,Train,Train,Train,,False
fCMR_Philips_127,Philips,Train,Train,Train,,False
fCMR_Philips_096,Philips,Train,,,,False
fCMR_Philips_075,Philips,Train,Train,Train,,False
fCMR_Philips_031,Philips,Test,Test,Test,,False
fCMR_Philips_102,Philips,Train,Train,Train,,False
fCMR_Philips_104,Philips,Test,Test,Test,,False
fCMR_Philips_045,Philips,,Train,Train,,False
fCMR_Philips_084,Philips,Train,Train,Train,,False
fCMR_Philips_063,Philips,Train,Train,Train,,False
fCMR_Philips_089,Philips,Train,Train,Train,,False
fCMR_Philips_077,Philips,Train,Train,Train,,False
fCMR_Philips_094,Philips,Test,Test,Test,,False
fCMR_Philips_044,Philips,Train,Train,Train,,False
fCMR_Philips_060,Philips,Train,Train,Train,,False
fCMR_Philips_095,Philips,Train,Train,Train,,False
fCMR_Philips_136,Philips,Test,Test,Test,,False
fCMR_Philips_128,Philips,Train,Train,Train,,False
fCMR_Philips_027,Philips,Train,,,,False
fCMR_Philips_054,Philips,Train,,,,False
fCMR_Philips_073,Philips,Train,Train,Train,,False
fCMR_Philips_076,Philips,Train,Train,Train,,False
fCMR_Philips_009,Philips,Train,Train,Train,,False
fCMR_Philips_039,Philips,Train,Train,Train,,False
fCMR_Philips_087,Philips,Test,Test,Test,,False
fCMR_Philips_003,Philips,Test,Test,Test,,False
fCMR_Philips_047,Philips,Test,Test,Test,,False
fCMR_Philips_057,Philips,Test,Test,Test,,False
