subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Philips_117,0,2.4627,3.6442,0.1348,0.6174,0.1723,1.9268
fCMR_Philips_002,0,2.3572,2.4751,0.1964,1.4861,0.2133,3.5616
fCMR_Philips_052,0,2.5139,2.5289,0.2331,0.3792,0.2371,1.6058
fCMR_Philips_123,0,0.3702,1.5476,0.084,0.3001,0.112,1.3478
fCMR_Philips_079,0,1.3904,2.7458,0.1449,1.1223,0.1646,3.1016
fCMR_Philips_041,0,1.7174,3.41,0.0633,0.2789,0.1207,0.9285
fCMR_Philips_090,0,1.7898,2.5602,0.1421,0.895,0.1693,2.6773
fCMR_Philips_114,0,2.2419,2.0095,0.0878,1.8094,0.1233,4.2554
fCMR_Philips_065,0,2.2427,3.2482,0.2019,0.8924,0.2156,2.6546
fCMR_Philips_132,0,3.0099,1.8142,0.2234,5.1389,0.2334,10.9209
fCMR_Philips_031,0,2.9439,3.0428,0.0897,0.4276,0.1465,1.5208
fCMR_Philips_104,0,1.8804,1.1887,0.103,1.8722,0.1377,4.7941
fCMR_Philips_094,0,2.7336,3.0077,0.1554,0.4988,0.1739,1.6138
fCMR_Philips_136,0,2.8695,2.8175,0.0417,0.0298,0.1138,0.5537
fCMR_Philips_087,0,1.424,2.7904,0.4277,1.7693,0.4342,5.0227
fCMR_Philips_003,0,1.6737,1.7668,0.1373,0.1519,0.1448,1.1174
fCMR_Philips_047,0,2.421,3.1563,0.2659,3.1078,0.3286,9.2938
fCMR_Philips_057,0,3.0658,1.7021,0.233,1.0681,0.2472,3.0144
fCMR_Philips_097,0,1.3901,2.802,0.3864,0.2291,0.4041,0.8253
fCMR_Philips_070,0,3.1292,1.2046,0.3823,0.7247,0.3888,1.963
fCMR_Philips_068,0,2.2382,2.5363,0.2098,0.5141,0.2161,1.5123
fCMR_Philips_117,1,2.682,1.85,0.1903,0.7755,0.2497,2.1332
fCMR_Philips_002,1,2.0734,3.1166,0.2374,0.5883,0.2456,1.7702
fCMR_Philips_052,1,2.1944,2.1807,0.1668,0.7312,0.2009,2.4311
fCMR_Philips_123,1,1.84,2.6562,0.1419,0.2753,0.1637,1.3314
fCMR_Philips_079,1,2.2563,2.6121,0.0991,0.6997,0.1308,2.9102
fCMR_Philips_041,1,2.3746,3.308,0.1021,0.5108,0.149,1.9954
fCMR_Philips_090,1,2.7802,3.1723,0.1277,1.4098,0.1414,3.0483
fCMR_Philips_114,1,1.2407,2.1905,0.1413,2.3542,0.1693,5.1517
fCMR_Philips_065,1,1.5023,1.3778,0.1404,1.6703,0.1536,3.6688
fCMR_Philips_132,1,1.4119,3.2066,0.1993,4.8876,0.2168,10.3034
fCMR_Philips_031,1,2.7529,2.914,0.0614,0.8231,0.1171,2.3097
fCMR_Philips_104,1,1.4345,1.6732,0.0803,1.3497,0.0933,3.4147
