subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Siemens_018,0,2.4627,3.6442,0.1356,1.4526,0.1791,5.536
fCMR_Siemens_113,0,2.3572,2.4751,0.1213,4.9148,0.1423,10.0422
fCMR_Siemens_027,0,2.5139,2.5289,0.04,1.9622,0.2039,6.287
fCMR_Siemens_006,0,0.3702,1.5476,0.1997,3.2377,0.251,7.5135
fCMR_Siemens_144,0,1.3904,2.7458,0.2215,1.1874,0.447,3.9475
fCMR_Siemens_068,0,1.7174,3.41,0.706,0.234,0.7106,2.1612
fCMR_Siemens_198,0,1.7898,2.5602,0.3136,0.5491,0.3502,2.1862
fCMR_Siemens_018,1,2.2419,2.0095,0.3233,1.4353,0.3365,4.7648
fCMR_Siemens_113,1,2.2427,3.2482,0.071,9.9324,0.0863,21.7325
fCMR_Siemens_027,1,3.0099,1.8142,0.2584,2.5298,0.3082,7.413
fCMR_Siemens_006,1,2.9439,3.0428,0.3474,8.8938,0.4101,19.4152
fCMR_Siemens_144,1,1.8804,1.1887,0.2069,0.364,0.7665,5.2728
fCMR_Siemens_068,1,2.7336,3.0077,0.7598,0.2567,0.7633,2.0616
fCMR_Siemens_198,1,2.8695,2.8175,0.2551,1.3698,0.287,3.6705
fCMR_Siemens_018,2,1.424,2.7904,0.4115,1.4486,0.4351,5.0778
fCMR_Siemens_113,2,1.6737,1.7668,0.0614,8.5171,0.1143,17.6405
fCMR_Siemens_027,2,2.421,3.1563,0.0893,4.1112,0.1723,10.1416
fCMR_Siemens_006,2,3.0658,1.7021,0.2451,11.8814,0.2785,25.1608
fCMR_Siemens_144,2,1.3901,2.802,0.2452,1.7672,0.276,5.1082
fCMR_Siemens_068,2,3.1292,1.2046,0.9889,0.7909,0.9999,4.0619
fCMR_Siemens_198,2,2.2382,2.5363,0.1815,2.2391,0.2203,6.5553
fCMR_Siemens_018,3,2.682,1.85,0.2147,1.2436,0.3631,5.8883
fCMR_Siemens_113,3,2.0734,3.1166,0.0624,3.0934,0.0859,6.9972
fCMR_Siemens_027,3,2.1944,2.1807,0.118,0.0038,0.3012,2.9396
fCMR_Siemens_006,3,1.84,2.6562,0.0641,5.7558,0.1537,13.3057
fCMR_Siemens_144,3,2.2563,2.6121,0.1265,2.3575,0.1638,6.9451
fCMR_Siemens_068,3,2.3746,3.308,0.878,1.1295,0.8859,5.0384
fCMR_Siemens_198,3,2.7802,3.1723,0.1902,1.1259,0.1988,3.158
fCMR_Siemens_018,4,1.2407,2.1905,0.4295,1.8357,0.4501,5.3126
fCMR_Siemens_113,4,1.5023,1.3778,0.0982,7.0663,0.1323,15.3186
fCMR_Siemens_027,4,1.4119,3.2066,0.136,1.1848,0.2391,3.006
fCMR_Siemens_006,4,2.7529,2.914,0.3104,0.878,0.3871,4.196
