subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Philips_117,0,2.4627,3.6442,0.0757,0.5575,0.1735,1.9707
fCMR_Philips_002,0,2.3572,2.4751,0.2442,1.6532,0.2926,3.8246
fCMR_Philips_052,0,2.5139,2.5289,0.354,0.3558,0.3702,1.1287
fCMR_Philips_123,0,0.3702,1.5476,0.0946,0.632,0.1632,2.0692
fCMR_Philips_079,0,1.3904,2.7458,0.1869,2.0521,0.2122,4.594
fCMR_Philips_041,0,1.7174,3.41,0.0608,0.9115,0.1432,2.5203
fCMR_Philips_090,0,1.7898,2.5602,0.1211,1.8365,0.1495,4.013
fCMR_Philips_114,0,2.2419,2.0095,0.2328,1.4719,0.25,3.701
fCMR_Philips_065,0,2.2427,3.2482,0.1519,0.4314,0.1748,1.4816
fCMR_Philips_132,0,3.0099,1.8142,0.3716,3.6956,0.3791,8.341
fCMR_Philips_031,0,2.9439,3.0428,0.1478,1.8107,0.1655,4.474
fCMR_Philips_104,0,1.8804,1.1887,0.0942,2.0585,0.1521,4.8948
fCMR_Philips_094,0,2.7336,3.0077,0.1554,1.3875,0.2242,3.7152
fCMR_Philips_136,0,2.8695,2.8175,0.0587,0.0798,0.1764,0.6518
fCMR_Philips_087,0,1.424,2.7904,0.4292,2.9751,0.4368,6.4446
fCMR_Philips_003,0,1.6737,1.7668,0.1885,0.6772,0.2006,1.7534
fCMR_Philips_047,0,2.421,3.1563,0.3703,5.2864,0.4277,12.5681
fCMR_Philips_057,0,3.0658,1.7021,0.1831,1.8646,0.1929,3.9876
fCMR_Philips_097,0,1.3901,2.802,0.595,0.2579,0.6068,1.2602
fCMR_Philips_070,0,3.1292,1.2046,0.3439,1.6657,0.3582,3.9287
fCMR_Philips_068,0,2.2382,2.5363,0.1669,0.6804,0.2093,2.38
fCMR_Philips_117,1,2.682,1.85,0.1103,0.2425,0.1783,0.9221
fCMR_Philips_002,1,2.0734,3.1166,0.2196,1.5169,0.2304,3.9614
fCMR_Philips_052,1,2.1944,2.1807,0.2294,0.4185,0.2517,1.1486
fCMR_Philips_123,1,1.84,2.6562,0.1044,0.9579,0.1411,2.5254
fCMR_Philips_079,1,2.2563,2.6121,0.1254,0.2302,0.2004,0.7646
fCMR_Philips_041,1,2.3746,3.308,0.1328,1.0738,0.1681,2.4138
fCMR_Philips_090,1,2.7802,3.1723,0.1442,2.6102,0.1612,6.1257
fCMR_Philips_114,1,1.2407,2.1905,0.2776,0.7185,0.293,2.3685
fCMR_Philips_065,1,1.5023,1.3778,0.12,1.2461,0.179,2.935
fCMR_Philips_132,1,1.4119,3.2066,0.2051,5.3232,0.2246,11.1791
fCMR_Philips_031,1,2.7529,2.914,0.1466,2.0869,0.1759,4.5858
fCMR_Philips_104,1,1.4345,1.6732,0.0805,0.8385,0.1197,2.2681
fCMR_Philips_094,1,1.9869,2.0976,0.1846,0.483,0.2074,1.7469
