subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Siemens_018,0,2.4627,3.6442,0.5548,3.0737,1.0517,6.9247
fCMR_Siemens_113,0,2.3572,2.4751,0.0975,6.7084,0.1528,14.1292
fCMR_Siemens_027,0,2.5139,2.5289,0.8238,0.2978,0.9094,1.6902
fCMR_Siemens_006,0,0.3702,1.5476,2.4579,13.1891,2.1725,28.4186
fCMR_Siemens_144,0,1.3904,2.7458,2.7507,6.6109,2.7552,14.2432
fCMR_Siemens_068,0,1.7174,3.41,1.1466,4.0399,1.528,9.1104
fCMR_Siemens_198,0,1.7898,2.5602,2.8239,12.2476,2.3392,27.9932
fCMR_Siemens_018,1,2.2419,2.0095,0.5512,2.4805,0.5974,6.4082
fCMR_Siemens_113,1,2.2427,3.2482,0.4618,17.3728,0.4786,35.6964
fCMR_Siemens_027,1,3.0099,1.8142,1.7187,5.4826,1.7277,13.975
fCMR_Siemens_006,1,2.9439,3.0428,1.7676,5.5837,2.2456,20.0481
fCMR_Siemens_144,1,1.8804,1.1887,2.8253,4.2443,2.7903,11.8949
fCMR_Siemens_068,1,2.7336,3.0077,2.1074,6.5712,2.1714,19.6316
fCMR_Siemens_198,1,2.8695,2.8175,3.0295,6.0357,2.4683,13.589
fCMR_Siemens_018,2,1.424,2.7904,0.6776,2.1695,0.6973,5.5934
fCMR_Siemens_113,2,1.6737,1.7668,0.152,14.4846,0.1797,29.642
fCMR_Siemens_027,2,2.421,3.1563,2.2797,6.4944,2.0156,19.2828
fCMR_Siemens_006,2,3.0658,1.7021,1.5771,9.9435,1.7621,26.0288
fCMR_Siemens_144,2,1.3901,2.802,2.895,2.0633,2.8573,6.0733
fCMR_Siemens_068,2,3.1292,1.2046,1.7386,3.4069,1.9387,9.5845
fCMR_Siemens_198,2,2.2382,2.5363,0.9903,18.5074,1.3742,46.6482
fCMR_Siemens_018,3,2.682,1.85,0.539,2.3486,0.7246,7.3166
fCMR_Siemens_113,3,2.0734,3.1166,0.1494,10.1552,0.2488,23.3689
fCMR_Siemens_027,3,2.1944,2.1807,0.8589,3.4474,1.1926,12.063
fCMR_Siemens_006,3,1.84,2.6562,2.9319,6.4564,2.5026,17.7269
fCMR_Siemens_144,3,2.2563,2.6121,1.7349,3.9094,1.6747,11.6983
fCMR_Siemens_068,3,2.3746,3.308,1.9708,5.7209,1.9856,13.0753
fCMR_Siemens_198,3,2.7802,3.1723,0.4306,1.8684,1.0003,6.1542
fCMR_Siemens_018,4,1.2407,2.1905,0.5872,4.3215,0.7518,9.896
fCMR_Siemens_113,4,1.5023,1.3778,0.2041,12.9674,0.2337,26.583
fCMR_Siemens_027,4,1.4119,3.2066,2.741,8.725,1.9548,19.4731
fCMR_Siemens_006,4,2.7529,2.914,1.3091,3.2009,1.664,10.5905
fCMR_Siemens_144,4,1.4345,1.6732,2.9486,5.8139,2.804,15.1528
fCMR_Siemens_068,4,1.9869,2.0976,1.1593,0.5387,1.6482,3.0706
fCMR_Siemens_198,4,2.6703,2.5459,0.731,1.6835,0.9065,4.6657
fCMR_Siemens_018,5,2.9069,3.2508,0.6333,2.3957,0.6448,5.616
fCMR_Siemens_113,5,2.3217,3.0019,0.1204,7.3108,0.2084,16.3081
fCMR_Siemens_027,5,2.2435,3.4201,1.6635,9.962,1.6965,24.0901
fCMR_Siemens_006,5,1.9621,1.2639,2.9555,2.6135,2.4231,12.4104
fCMR_Siemens_144,5,0.8821,2.5274,3.1136,4.3642,2.3557,10.2077
fCMR_Siemens_068,5,3.045,1.5085,1.1253,2.9903,1.1594,7.6406
fCMR_Siemens_198,5,2.9759,3.1053,0.7196,3.8472,1.1288,11.3764
fCMR_Siemens_018,6,1.0381,3.7669,0.7632,1.8591,0.7745,4.7099
fCMR_Siemens_113,6,1.3345,2.4717,0.0914,18.8636,0.1396,39.5638
fCMR_Siemens_027,6,2.4436,0.894,0.68,0.1488,0.8412,2.0882
fCMR_Siemens_006,6,2.7614,2.8191,2.147,5.7846,2.1767,15.6739
fCMR_Siemens_144,6,0.9319,1.4897,3.0827,5.8039,2.5488,12.1951
fCMR_Siemens_068,6,1.1475,2.3721,2.5702,0.4131,2.0891,3.8842
fCMR_Siemens_198,6,1.9684,2.9714,0.4539,4.6546,1.2294,11.6253
fCMR_Siemens_018,7,3.0408,2.9859,0.8367,2.7852,0.8727,6.615
fCMR_Siemens_113,7,2.4417,2.5253,0.15,15.9646,0.1988,32.6053
fCMR_Siemens_027,7,1.3791,2.5303,2.5676,0.4351,1.6982,7.2924
fCMR_Siemens_006,7,3.0447,2.2048,2.6427,3.5084,2.6093,10.9542
fCMR_Siemens_144,7,1.7503,2.0295,0.8935,6.0212,1.333,16.8037
fCMR_Siemens_068,7,2.5463,2.767,1.421,4.897,1.58,11.1093
fCMR_Siemens_198,7,1.303,2.7509,0.5472,5.0002,1.2129,13.2362
fCMR_Siemens_018,8,1.7648,2.4986,0.9048,2.8139,0.9088,6.8172
fCMR_Siemens_113,8,0.6138,2.0748,0.114,11.2029,0.2315,23.6422
fCMR_Siemens_027,8,2.31,1.345,0.699,0.6028,0.7702,5.4524
fCMR_Siemens_006,8,2.9045,1.5984,3.0278,5.9855,2.3796,14.6816
fCMR_Siemens_144,8,0.7513,2.8568,2.6476,7.2743,2.6502,16.2976
fCMR_Siemens_068,8,2.5759,3.0457,1.3194,5.0241,1.3731,15.366
