subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Siemens_018,0,2.4627,3.6442,2.0725,14.7872,2.089,31.6748
fCMR_Siemens_113,0,2.3572,2.4751,0.1238,7.8718,0.1751,17.4526
fCMR_Siemens_027,0,2.5139,2.5289,0.2385,4.3839,0.2532,9.7819
fCMR_Siemens_006,0,0.3702,1.5476,0.215,3.0837,0.2397,7.7154
fCMR_Siemens_144,0,1.3904,2.7458,0.3649,0.718,0.4064,3.4957
fCMR_Siemens_068,0,1.7174,3.41,0.9782,1.2327,0.9976,7.5045
fCMR_Siemens_198,0,1.7898,2.5602,0.3156,0.3748,0.3656,2.6489
fCMR_Siemens_018,1,2.2419,2.0095,2.0598,20.3583,2.0699,42.7038
fCMR_Siemens_113,1,2.2427,3.2482,0.1449,6.9992,0.1581,14.906
fCMR_Siemens_027,1,3.0099,1.8142,0.1642,1.4631,0.218,5.038
fCMR_Siemens_006,1,2.9439,3.0428,0.5675,4.0381,1.0248,13.0159
fCMR_Siemens_144,1,1.8804,1.1887,0.1742,2.0683,0.2929,5.7511
fCMR_Siemens_068,1,2.7336,3.0077,0.8953,0.912,0.9016,4.0259
fCMR_Siemens_198,1,2.8695,2.8175,0.4328,0.6686,0.495,4.1781
fCMR_Siemens_018,2,1.424,2.7904,1.8762,15.6428,1.8166,39.7611
fCMR_Siemens_113,2,1.6737,1.7668,0.1187,7.3258,0.2007,17.568
fCMR_Siemens_027,2,2.421,3.1563,0.1248,5.9039,0.1963,14.0397
fCMR_Siemens_006,2,3.0658,1.7021,0.4037,6.0466,0.7413,14.8822
fCMR_Siemens_144,2,1.3901,2.802,0.2243,0.4975,0.2262,4.2966
fCMR_Siemens_068,2,3.1292,1.2046,1.2084,4.4222,1.7617,16.9966
fCMR_Siemens_198,2,2.2382,2.5363,0.2596,2.2743,0.2869,6.4328
fCMR_Siemens_018,3,2.682,1.85,1.7025,9.5863,1.9088,32.5242
fCMR_Siemens_113,3,2.0734,3.1166,0.1511,9.2182,0.219,23.3546
fCMR_Siemens_027,3,2.1944,2.1807,0.0791,0.2248,0.1671,2.4571
fCMR_Siemens_006,3,1.84,2.6562,0.4485,2.4463,0.9327,10.2742
fCMR_Siemens_144,3,2.2563,2.6121,0.3575,1.4789,0.4167,4.5955
