subject_id,step,angle,translation,GD_EP,GD_EP_Q,GD_EP_G,CD_EP,CD_EP_Q,CD_EP_G,GD_IP,CD_IP
fCMR_Siemens_018,0,2.4627,3.6442,0.0568,0.5012,0.6206,1.1644,1.1644,1.1644,0.7318,5.5783
fCMR_Siemens_113,0,2.3572,2.4751,0.1322,0.1322,0.1322,6.3472,6.3472,6.3472,0.167,14.138
fCMR_Siemens_027,0,2.5139,2.5289,0.0984,0.0984,0.0984,2.2533,2.2533,2.2533,0.1233,8.2447
fCMR_Siemens_006,0,0.3702,1.5476,0.2618,0.2638,0.2644,1.7389,1.7389,1.7389,0.2848,5.8058
fCMR_Siemens_144,0,1.3904,2.7458,0.1119,0.1119,0.1119,1.1948,1.1948,1.1948,0.1406,3.6
fCMR_Siemens_068,0,1.7174,3.41,0.5133,0.5135,0.5135,0.8651,0.8651,0.8651,0.5226,3.1631
fCMR_Siemens_198,0,1.7898,2.5602,0.3909,1.0172,0.3906,1.0781,1.0781,1.0781,0.4429,3.7922
fCMR_Siemens_018,1,2.2419,2.0095,0.2272,0.2272,0.2272,1.6721,1.6721,1.6721,0.2489,4.6576
fCMR_Siemens_113,1,2.2427,3.2482,0.1149,0.1149,0.1149,7.9017,7.9017,7.9017,0.153,17.1106
fCMR_Siemens_027,1,3.0099,1.8142,0.2179,0.218,0.218,1.274,1.274,1.274,0.235,4.7738
fCMR_Siemens_006,1,2.9439,3.0428,0.8166,1.2534,1.3046,4.5533,4.5533,4.5533,1.3643,16.9187
fCMR_Siemens_144,1,1.8804,1.1887,0.146,0.146,0.146,2.6799,2.6799,2.6799,0.1915,7.0614
fCMR_Siemens_068,1,2.7336,3.0077,0.7154,0.7152,0.7151,0.2876,0.2876,0.2876,0.7324,2.1744
fCMR_Siemens_198,1,2.8695,2.8175,0.195,0.195,0.195,0.3454,0.3454,0.3454,0.2382,2.4972
fCMR_Siemens_018,2,1.424,2.7904,0.3476,0.7162,0.5677,2.8277,2.8277,2.8277,0.8836,8.4669
fCMR_Siemens_113,2,1.6737,1.7668,0.035,0.035,0.035,4.9672,4.9672,4.9672,0.0724,10.8129
fCMR_Siemens_027,2,2.421,3.1563,0.1194,0.1194,0.1194,3.7317,3.7317,3.7317,0.1698,8.974
fCMR_Siemens_006,2,3.0658,1.7021,0.2111,0.2112,0.2112,6.6361,6.6361,6.6361,0.238,14.9222
fCMR_Siemens_144,2,1.3901,2.802,0.0774,0.0774,0.0774,1.1487,1.1487,1.1487,0.1112,3.6648
fCMR_Siemens_068,2,3.1292,1.2046,0.7983,0.7997,0.8001,1.7062,1.7062,1.7062,0.8069,4.7215
fCMR_Siemens_198,2,2.2382,2.5363,0.2579,0.258,0.258,2.0697,2.0697,2.0697,0.2703,5.729
fCMR_Siemens_018,3,2.682,1.85,0.2086,0.2251,0.2304,1.0197,1.0197,1.0197,0.3362,4.7671
fCMR_Siemens_113,3,2.0734,3.1166,0.0701,0.2014,0.07,3.9497,3.9497,3.9497,0.1714,9.6179
fCMR_Siemens_027,3,2.1944,2.1807,0.1544,0.1545,0.1545,0.3184,0.3184,0.3184,0.1781,2.0481
fCMR_Siemens_006,3,1.84,2.6562,0.214,0.315,0.214,1.3313,1.3313,1.3313,0.2276,5.0854
fCMR_Siemens_144,3,2.2563,2.6121,0.109,0.4046,0.4949,1.2725,1.2725,1.2725,0.6414,5.0093
fCMR_Siemens_068,3,2.3746,3.308,0.4039,0.4038,0.4037,0.9042,0.9042,0.9042,0.4191,4.1476
fCMR_Siemens_198,3,2.7802,3.1723,0.2048,0.2048,0.2048,0.8832,0.8832,0.8832,0.2337,3.6547
fCMR_Siemens_018,4,1.2407,2.1905,0.1549,0.155,0.155,1.7207,1.7207,1.7207,0.2159,4.7016
